source_group,class_name,source_date,pool_files,current_val_files,current_test_files,current_unused_files,spans_val_and_test
normal:2025-06-25_test:141_obj1,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:141_obj11,good,2025-06-25_test,9,2,7,0,True
normal:2025-06-25_test:141_obj13,good,2025-06-25_test,9,1,8,0,True
normal:2025-06-25_test:141_obj15,good,2025-06-25_test,9,0,3,6,False
normal:2025-06-25_test:141_obj17,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:141_obj3,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:141_obj5,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:141_obj7,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:141_obj9,good,2025-06-25_test,9,2,7,0,True
normal:2025-06-25_test:142_obj1,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:142_obj11,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:142_obj13,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:142_obj15,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:142_obj17,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:142_obj3,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:142_obj5,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:142_obj7,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:142_obj9,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:143_obj1,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:143_obj11,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:143_obj13,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:143_obj15,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:143_obj17,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:143_obj3,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:143_obj5,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:143_obj7,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:143_obj9,good,2025-06-25_test,9,0,0,9,False
normal:2025-06-25_test:230_obj10,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:230_obj12,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:230_obj14,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:230_obj16,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:230_obj18,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:230_obj2,good,2025-06-25_test,4,0,0,4,False
normal:2025-06-25_test:230_obj4,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:230_obj6,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:230_obj8,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:231_obj10,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:231_obj12,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:231_obj14,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:231_obj16,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:231_obj18,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:231_obj2,good,2025-06-25_test,4,0,0,4,False
normal:2025-06-25_test:231_obj4,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:231_obj6,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:231_obj8,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:32_obj1,good,2025-06-25_test,4,1,2,1,True
normal:2025-06-25_test:32_obj11,good,2025-06-25_test,7,1,3,3,True
normal:2025-06-25_test:32_obj13,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:32_obj15,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:32_obj17,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:32_obj3,good,2025-06-25_test,7,0,4,3,False
normal:2025-06-25_test:32_obj5,good,2025-06-25_test,7,1,2,4,True
normal:2025-06-25_test:32_obj7,good,2025-06-25_test,7,1,2,4,True
normal:2025-06-25_test:32_obj9,good,2025-06-25_test,7,0,4,3,False
normal:2025-06-25_test:33_obj1,good,2025-06-25_test,4,0,0,4,False
normal:2025-06-25_test:33_obj11,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:33_obj13,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:33_obj15,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:33_obj17,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:33_obj3,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:33_obj5,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:33_obj7,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:33_obj9,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:60_obj1,good,2025-06-25_test,4,0,0,4,False
normal:2025-06-25_test:60_obj11,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:60_obj13,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:60_obj15,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:60_obj17,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:60_obj3,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:60_obj5,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:60_obj7,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:60_obj9,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:86_obj1,good,2025-06-25_test,4,0,0,4,False
normal:2025-06-25_test:86_obj11,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:86_obj13,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:86_obj15,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:86_obj17,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:86_obj3,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:86_obj5,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:86_obj7,good,2025-06-25_test,7,0,0,7,False
normal:2025-06-25_test:86_obj9,good,2025-06-25_test,7,0,0,7,False
